CourseCode,CourseName,CourseCredit,Type,Courses,Applicable forDepartment(s),Applicable forprogram(s),InstructorConsent,Remark,Qualifyingdiscipline
ET 613,Human-Computer Interaction for Educational Technology,6,prerequiste,ET 621 AND ET 601,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Not Required,,
ET 614,Instructional Systems Design,6,prerequiste,,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
ET 616,Multimodal Data Analysis,6,prerequiste,ET 601,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
ET 617,Educational App Design,6,prerequiste,ET 601,Self Department (Department offering this Course),"- M.Tech
",Not Required,,
ET 622,Educational Text Data Analysis,6,prerequiste,ET 610,Other than Self Department,"- M.Tech
",Required,Offered only to ET MTech students.,
ET 623,Learning Analytics,6,prerequiste,,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
ET 694,Seminar,4,prerequiste,ET 601,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
ET 798,II Stage Project,42,prerequiste,ET 601,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
ETS801,Seminar,4,prerequiste,ET 601,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
GNR403,Geoinformatics Lab,6,prerequiste,GNR401 AND GNR402,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
GNR405,Mini Project,6,prerequiste,GNR401 AND GNR402,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
GNR406,Geoinformatics Lab,6,prerequiste,GNR401 AND GNR402,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
GNR406,Geoinformatics Lab,6,prerequiste,GNR401 AND GNR402,All Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Not Required,,
GNR407,Natural Hazards and Disaster Management,6,prerequiste,GNR401 AND GNR402,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
GNR408,Mini Project,6,prerequiste,GNR401 OR GNR402,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
GNR408,Mini Project,6,prerequiste,GNR401 OR GNR402,All Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Not Required,,
GNR408,Mini Project,6,prerequiste,GNR401 OR GNR402,All Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- M.S. By Research (Exit)
- M.Sc. + M.Phil
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Not Required,Maximum students - 40,
GNR409,Terrain Evaluation and Landuse Planning,6,prerequiste,GNR401 AND GNR402,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
GNR410,Digital Photogrammetry and GPS,6,prerequiste,GNR401 OR GNR402,All Department,"- 5 Year Integrated M.Sc.
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des.+M.Des.)
- Dual Degree Programme
- Four Year B.S.
- IDDDP
- Preparatory Course
",Not Required,GNR401 or GNR402,
GNR411,Integrated Coastal Management,6,prerequiste,GNR401 AND GNR402,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
GNR412,Fundamentals of Natural Resources Engineering,6,prerequiste,GNR401 AND GNR402,All Department,"- B.Tech.
",Not Required,,
GNR650,Advanced topics in deep learning for image analysis,6,prerequiste,GNR638 OR IE 643 OR CS 726,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
- Ph.D.
",Conditional,"GNR 638 / CSE 726 / IE 643
Open for only 4-5th year B-Tech/DDP, 2nd year M-Tech, or PhD students.",
GP 402,Gravity and Magnetic Methods,6,prerequiste,GP 401,Other than Self Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Required,,
GP 516,Petroleum Geology and Petrophysics,6,prerequiste,,Other than Self Department,"- B.Tech.
- M.Tech
",Required,,
GP 518,"Process Geomorphology, Remote Sensing and GIS",6,prerequiste,,Other than Self Department,"- B.Tech.
- M.Tech
",Required,,
GS 416,Petrology Lab,6,prerequiste,GS 415,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
GS 421,Palaeontology,6,prerequiste,B.Sc with Geology,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- M.Des. by Research
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
GS 422,"Geomorphology, Remote Sensing & GIS",6,prerequiste,,Other than Self Department,"- B.Tech.
- M.Tech
",Required,,
GS 433,Palaeontology Lab,3,prerequiste,,Other than Self Department,"- 2 Yr M.Sc
",Required,BSc degree with geology,
GS 440,"Geomorphology, Remote Sensing and GIS lab",3,prerequiste,GS 422,Other than Self Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Required,,
GS 507,Engineering & Ground Water Geology,6,prerequiste,,Other than Self Department,"- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- M.Des. by Research
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
GS 530,Micropalaeontology,4,prerequiste,,Other than Self Department,"- 2 Yr M.Sc
",Required,BSc degree with geology,
GS 534,Tectonics and Crustal Evolution,6,prerequiste,,Other than Self Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Required,,
GS 534,Tectonics and Crustal Evolution,6,prerequiste,,Other than Self Department,"- B.Tech.
- MA (exit degree)
- M.Phil. (Exit Degree)
- M.Tech (Exit Degree)
",Required,,
GS 535,Statistical Methods in Geosciences,6,prerequiste,,Other than Self Department,"- B.S.+ M.Sc. Dual Degree
- B.Tech.
- M.Tech
",Required,,
GS 538,Petroleum and Coal Geology,6,prerequiste,,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
GS 647,Principles and Applications in Isotope Geology,6,prerequiste,,Other than Self Department,"- B.Tech.
- M.Tech
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
",Required,Geology Background is Essential,
GS 649,Tectonics and Mechanism of Mobile Belts,6,prerequiste,,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,Geology background is essential,
GS 663,Exploration Geophysics,6,prerequiste,,Other than Self Department,"- 2 Yr M.Sc
- B.Tech.
- M.Tech
- Ph.D.
",Required,,
GS 671,Groundwater Exploration,6,prerequiste,GS 407OR GP 413,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- M.Des. by Research
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
GS 673,Mineral Exploration,6,prerequiste,,Other than Self Department,"- B.Tech.
- M.Tech
- Ph.D.
",Required,Geology Background is required,
GS 675,Petroleum Exploration,6,prerequiste,,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- M.Des. by Research
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
GS 679,Basin Analysis and Applied Micropalaeontology,6,prerequiste,,Other than Self Department,"- M.Tech
",Required,,
GS 686,Introduction to Machine Learning in Geophysics,6,prerequiste,GP 401OR GS 543,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- M.Des. by Research
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
GS 688,Petroleum Geochemistry,6,prerequiste,,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- M.Des. by Research
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
GS 706,Petrophysics,6,prerequiste,,Other than Self Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- Bachelor of Arts (3-year)
- Bachelor of Design (3-year)
- Bachelor of Science (3-year)
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MA by Research (Exit)
- MA (exit degree)
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. (Exit Degree)
- M.Sc. + M.Phil
- M.Sc.+ M.S. by Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech.+MS. by Research (Exit)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
