CourseCode,CourseName,CourseCredit,Type,Courses,Applicable forDepartment(s),Applicable forprogram(s),InstructorConsent,Remark,Qualifyingdiscipline
AE 713,Space Flight Dynamics,6,equivalent,AE 341,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
- Ph.D.
",Not Required,,
AE 714,Aircraft Design,6,equivalent,AE 332,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 715,Structural Dynamics,6,equivalent,AE 326,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 717,Aircraft Flight Dynamics,6,equivalent,AE 305,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 718,Hydrodynamic Stability Theory,6,equivalent,ME 783,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 720,Advanced Numerical Methods for Compressible Flows,6,prerequiste,( AE 339 OR AE 616 ) AND AE 706,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 724,Experimental Methods in Fluid Mechanics,6,prerequiste,AE 225 OR ME 219,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 726,Heat Transfer - Aerospace Applications,6,prerequiste,AE 223 OR ME 209,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 736,Advanced Aeroelasticity,6,prerequiste,AE 678,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 755,Optimization for Engineering Design,6,equivalent,CE 771 OR CL 603 OR ME 782,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 775,"System Modelling, Dynamics and Control",6,equivalent,AE 308,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
BB 400,Molecular Biophysics,6,prerequiste,BT 251 OR BB 101,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
BB 403,Biomolecular Spectroscopy,6,prerequiste,BB 401,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
BB 404,Metabolism and Bioenergetics,6,prerequiste,BB 101 OR BS 409,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
BB 405,Molecular Biology,6,prerequiste,BB 101,Other than Self Department,"- 5 Year Integrated M.Sc.
- B.Des.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- Preparatory Course
",Not Required,,
