Course Code,Course Name,Instructor Name
AE 780,Computational Heat Transfer and Fluid Flow ,
AE 782,Flow Control ,
AE 792,Communication Skills -II ,
AE 796,I Stage Project ,
AE 798,II Stage Project ,
AE 899,Communication Skills ,Chandra Sekar  ThyagarajanP J Guruprasad
AEP601,I Stage Project ,
AEP602,II stage project ,
AEP603,III stage project ,
AEP604,I Stage Project ,
AES601,Seminar ,
AES802,Seminar ,Chandra Sekar  ThyagarajanP J Guruprasad
GP 401,Global Geophysics ,Kumar Hemant Singh
GP 402,Gravity and Magnetic Methods ,
GP 403,Earthquake and Engineering Seismology ,Mohan G.Satish Maurya
GP 407,Seismology Lab ,Satish Maurya
GP 408,Gravity and Magnetic Lab ,
GP 413,Mineralogy & Petrology ,Prabhakar Naraga
GP 414,Electrical Methods ,
GP 415,Mineralogy & Petrology Lab ,Patel S.C.
GP 416,Structural Geology & Stratigraphy ,
GP 418,Exploration Seismology I ,
GP 420,Structural Geology & Stratigraphy Lab ,
GP 422,Geological Field Work ,
GP 502,Well Logging ,
GP 503,Geophysical Signal Processing ,Vivek  Kumar
GP 505,Electromagnetic Methods ,Anand  Singh
GP 506,Geophysical Inverse Theory ,
GP 517,Exploration Seismology II ,Bharath C. Shekar
GP 518,"Process Geomorphology, Remote Sensing and GIS ",
GP 519,Engineering & Ground Water Geology Lab ,D. RamakrishnanVikram Vishal
GP 520,Project Work ,
GP 521,Electromagnetic Lab ,Anand  Singh
GP 523,Industrial Training ,Anand  Singh
GP 525,Computational Geophysics ,Anand  Singh
GP 591,Seminar ,
GP 593,M.Sc.-Ph.D. Geophysical Project ,
BB 101,Biology ,Patankar SwatiP.V.BalajiS. Srivastava
BB 400,Molecular Biophysics ,
BB 401,Mathematical Methods for Biologists ,
BB 402,Cell Biology ,S. GhoshSwapnil Rohidas Shinde
BB 403,Biomolecular Spectroscopy ,
BB 404,Metabolism and Bioenergetics ,
BB 405,Molecular Biology ,Sreelaja  Nair
BB 406,Genetic Engineering ,
BB 407,Analytical Biochemistry ,
BB 408,Immunology ,
BB 409,Biological thermodynamics and kinetics ,
BB 410,Bioinformatics - I Lab ,
BB 411,Molecular Cell Biology ,
BB 412,Genomics and Proteomics ,
BB 413,Biochemistry ,
BB 414,Molecular Diagnostics ,
BB 415,Cell and Molecular Biology ,
BB 416,Research Methodology and Scientific Communication Skills ,
BB 417,Plant and Animal Biotechnology ,
BB 419,Microbiology ,
BB 421,Genetics ,Sushil  Kumar
BB 423,Basics of Mathematics and Statistics ,
BB 425,Basics of Chemistry and Physics ,
BB 450,Biophysics Laboratory ,
BB 451,Biochemistry Laboratory ,
BB 452,Microbiology Laboratory ,
BB 453,Biochemistry and Analytical Techniques lab ,
BB 454,Programming for Bioinformatics ,
BB 455,Microbiology lab ,
BB 456,Molecular Biology and Genetic Engineering Lab ,
BB 457,Plant and Animal Biotechnology lab ,
BB 458,Immunology Lab ,
BB 501,Genetics ,
BB 502,Project Stage II Dissertation ,
BB 503,Genetic Engineering ,
BB 505,Molecular Immunology ,Sushil  Kumar
BB 507,Molecular Enzymology ,
BB 509,Bioprocess Engineering and Technology ,
BB 511,Emerging Technologies ,
BB 513,Critical Analysis of Classical Papers (Seminar) ,
BB 515,Bioentrepreneurship ,
BB 517,"Intellectual Property Rights, Biosafety and Bioethics ",
BB 519,Project Proposal Presentation and Dissertation ,Sreelaja  Nair
BB 520,Analytical Biochemistry ,
BB 521,Biochemistry and Bioenergetics ,P.V.Balaji
BB 522,Microbiology ,
BB 523,Mathematical and Numerical Methods for Biologists ,Deepak Kumar  Agrawal
BB 524,Genetic Engineering ,
BB 525,Biological Thermodynamics and Kinetics ,Ranjith P.
BB 526,Biomolecular Spectroscopy ,
BB 527,Molecular Enzymology ,Prasenjit  Bhaumik
BB 528,Integrated Biology Lab ,
BB 529,Research Methodology and Scientific Communication Skills ,Patankar Swati
BB 551,Genetic Engineering Laboratory ,
