Course Code,Course Name,Instructor Name
CE 201,Solid Mechanics I ,
CE 203,Solid Mechanics ,Arghadeep LaskarJayadipta GhoshNajeeb Mohammad Shariff
CE 204,Engineering Surveying ,
CE 205,Fluid Mechanics I ,
CE 206,Hydraulic Engineering ,
CE 207,Hydromechanics ,Basudev  BiswalSrineash  V.K.
CE 209,Building Materials and Construction ,Muhammad SalmanPrakash NanthagopalanSwathy  Manohar
CE 211,Solid Mechanics Lab I ,
CE 213,Fluid Mechanics Lab I ,
CE 216,Engineering Surveying Practical ,
CE 218,Hydraulic Design Lab ,
CE 219,Solid Mechanics Laboratory ,
CE 221,Solid Mechanics ,
CE 222,Structural Mechanics I ,
CE 223,Fluid Mechanics ,
CE 228,Applied Hydraulic Engineering ,
CE 230,Hydraulic Engineering Lab ,
CE 231,Solid Mechanics Lab ,
CE 232,Building Materials and Construction ,
CE 233,Fluid Mechanics Lab ,
CE 234,Structural Mechanics ,
CE 235,Artificial Intelligence & Data Science ,
CE 236,Soil Mechanics ,A. Juneja
CE 238,Land Surveying: Theory and Practice ,
CE 240,Soil Mechanics Laboratory ,
CE 242,Hydromechanics Laboratory ,
CE 244,Transportation Engineering ,
CE 303,Soil Mechanics I ,
CE 304,Soil Mechanics II ,
CE 307,Design of Structures I ,
CE 308,Design of Structures II ,
CE 310,Transportation Engg. I ,
CE 314,Soil Mechanics Lab II ,
CE 315,Design Laboratory I ,
CE 317,Structural Mechanics II ,
CE 318,Design Laboratory II ,
CE 319,Soil Mechanics Lab I ,
CE 321,Materials and Structures Lab ,
CE 323,Geotechnical Engineering I ,
CE 324,Engineering Law ,Milind S. WankhedeSinha Ravi
CE 325,Structural Design I ,
CE 327,Analysis and Design Software Lab ,
CE 328,Transportation Engineering Lab I ,
CE 329,Geotechnical Engineering Lab I ,
CE 330,Geotechnical Engineering II ,
CE 332,Structural Design II ,
CE 333,Foundation Engineering ,Pinom  EringS. Dasaka MurthyViswanadham B.V.S.
CE 334,Transportation Engineering II ,
CE 336,Geotechnical Engineering Lab II ,
CE 337,Introduction to Structural Design ,Amit Kumar Das Manish KumarMeera  Raghunandan
CE 338,Estimation and Materials Testing Laboratory ,
CE 341,Transportation Engineering Laboratory ,Dharamveer SinghNagendra Rao VelagaSangram Krishna NirmaleSolomon  Debbarma
CE 397,Seminar ,
CE 401,Water Resources Engineering ,Jothiprakash V.M.J.Reddy
CE 403,Design of Structures III ,Goyal Alok
CE 407,Foundation Engg. ,Prasenjit BasuSantiram Chatterjee
CE 412,Transportation  Engg.Lab II ,
CE 415,Transportation Engineering II ,
CE 418,Introduction to Finite Elements Methods ,
CE 448,Prestressed Concrete Design ,
CE 463,Probabilistic and Statistical Methods in Civil Eng ,Arpita MondalSubimal GhoshSwagata Basu
CE 465,Numerical Methods in Civil Engineering ,M.M.InamdarSangram Krishna Nirmale
CE 482,Construction Management ,Albert  Thomas
CE 593,Dual Degree Project I ,
CE 602,Design of Offshore Structure ,
CE 603,Numerical Methods ,Desai Yogesh M.
CE 605,Applied Statistics ,Bellie  Sivakumar
CE 607,Numerical Techniques in Hydraulic Engg ,
CE 608,Eco-hydro-Climatology ,
CE 609,Transportation Infrastructure Systems ,
CE 610,Introduction to Earthquake Engineering ,
CE 611,Advanced Structural Mechanics ,
CE 613,Concrete Technology ,
CE 615,Structural Optimization ,
CE 616,Structural Dynamics ,Banerji P.
CE 617,Plates and Shells ,
CE 619,Structural Stability ,
CE 620,Finite Element Methods ,
CE 621,Plastic Analysis ,
CE 622,Reliability Based Civil Engineering Design ,
CE 623,Advanced Solids Mechanics ,Sauvik Banerjee
CE 624,Nonlinear Analysis ,
CE 625,Analysis of Offshore Structures ,
CE 626,Groundwater Systems Planning and Management ,Bellie  Sivakumar
CE 627,Structural Design ,Sinha Ravi
CE 629,Elastic Waves in Solids ,
CE 630,Geographical Information Systems in Civil Engineering ,Raaj Ramsankaran
CE 632,Ground Improvement ,
CE 633,Soil Structure Interaction ,
CE 637,Rock Mechanics ,
CE 639,Green Building Design ,
CE 640,Foundation Engineering ,
CE 641,Environmental Geomechanics ,Singh D.N.
CE 643,Experimental Geotechnics ,A. JunejaChoudhury DeepankarPrasenjit BasuSantiram ChatterjeeS. Dasaka MurthySingh D.N.Viswanadham B.V.S.
CE 645,Geotechnical Centrifuge Modelling ,
CE 647,Soil Dynamics and Machine Foundations ,Choudhury Deepankar
CE 648,Finite Element Methods in Geotechnical Engineering ,
CE 651,Bridge Engineering ,
CE 652,Foundations of Offshore Structures ,
CE 653,Structural Reliability and Risk Analysis ,Ghosh Siddhartha
CE 654,Advanced Hydrological Analysis and Design ,
CE 656,Plasticity Theory and Applications in Geomechanics ,
CE 657,Computing in Civil Engineering ,
CE 658,Hydrogeomorphology ,
CE 667,Hydraulic Structures ,
CE 669,Physical and Stochastic Hydrology ,
CE 672,River Mechanics & Control Structures ,
CE 673,Ground Water Hydrology ,
CE 675,Advanced Experimental Fluid Mechanics ,M.J.Reddy
CE 676,Water Resources Systems ,
CE 677,Design and Testing of Pile Foundations ,
CE 679,Advanced Mechanics of Reinforced Concrete ,
CE 680,Mechanics of Water Waves ,Manasa R. Behera
CE 681,Advance Pavement Engineering Lab ,Dharamveer Singh
CE 682,Finite Element Applications to Flow Problems ,
CE 683,Marine Geotechnical Engg ,
CE 684,Advanced Geotechnical Earthquake Engineering ,
CE 686,Advanced Stochastic Hydrology ,
CE 687,Offshore Construction ,
CE 688,Risk Assessment & Management in Geotechnical Engineering ,
CE 694,Seminar ,Tom V Mathew
CE 699, Transportation Systems Studio ,
CE 701,Remote Sensing Technology ,Eswar  Rajasekaran
CE 702,Geotechnical Constitutive Models ,A. Juneja
CE 703,Remote Sensing Laboratory ,Eswar  Rajasekaran
CE 705,Photogrammetric Engineering ,
CE 706,Ocean Engineering Laboratory ,R. BalajiSrineash  V.K.
CE 707,"Coastal, Port and Harbor Engineering ",
CE 708,Offshore Engineering ,
CE 710,Remote Sensing and Geographical Information Systems in Water Resources Management ,
CE 712,Digital Image Processing of Remotely Sensed Data ,J. Indu
CE 713,Advanced Concrete Technology ,Prakash Nanthagopalan
CE 716,Data Processing in Remote Sensing ,
CE 717,Construction Planning and Control ,Venkata S. Delhi
CE 718,Construction Materials Laboratory ,Swathy  Manohar
CE 719,Construction Contracts ,
CE 720,Non-Destructive Testing of Materials ,
CE 722,Construction Management Studio ,
CE 723,Construction Equipment and Personnel Management ,
CE 725,Construction Economics and Finance ,Venkata S. Delhi
CE 727,Construction Materials ,Muhammad Salman
CE 728,Construction Management ,
CE 729,Quality and Safety in Construction ,
CE 731,Mechanics of Fluid Flow ,T I Eldho
CE 736,Environment Impact Analysis of Water Resources Systems ,
CE 738,Irrigation and Conveyance Network ,
CE 740,Traffic Engineering ,Tom V Mathew
CE 741,Formwork for Concrete Structures ,
CE 742,Pavement Systems Engineering ,Dharamveer Singh
CE 743,Condition Assessment and Rehabilitation of Structures ,
CE 744,Analysis of Transportation System ,
CE 746,Reinforced Earth and Geotextiles ,
CE 749,Freight transportation Planning and Logistics ,
CE 751,Urban Transportation Systems Planning ,K.V.Krishna Rao
CE 754,Economic Evaluation and Analysis of Transportation Project ,
CE 764,Hydroinformatics ,
CE 765,Environmental Fluid Mechanics ,
CE 766,Watershed Management ,Riddhi Singh
CE 767,Hydrological Hazard Mitigation and  Management ,
CE 768,Urban Water and Environmental Management ,
CE 769,Coastal and Ocean Environment ,R. Balaji
CE 770,Ocean Renewable Energy ,
CE 771,Optimization in Civil Engineering ,Avijit Maji
CE 772,Pavement Materials ,
CE 773,Geometric Design and Analysis of High-Speed Roadways ,
CE 774,Traffic Management and Design ,
CE 775,Airport Planning and Design ,
CE 776,Transportation Project Evaluation and Decision Making  ,
CE 780,Behavioural Travel Modelling ,
CE 781,Advanced Foundation Engineering ,
CE 782,Advanced Soil Mechanics ,Prasenjit Basu
CE 792,Communication Skills -II ,
CE 797,I Stage Project ,
CE 798,II Stage Project ,
CE 899,Communication Skills ,Archak  MittalArnab  Jana
CEP602,II stage project ,
CEP603,III stage project ,
CES601,Seminar ,
CS 101,Computer Programming and Utilization ,Manoj Prabhakaran
CS 103,Computing and Science ,
CS 104,Software Systems Lab ,
CS 105,Discrete Structures ,S. Akshay
CS 108,Software Systems Lab ,
CS 152,Abstractions and Paradigms for Programming ,
CS 154,Programming Paradigms Laboratory ,
CS 207,Discrete Structures ,
CS 208,Automata Theory and Logic ,
CS 210,Logic Design ,
CS 213,Data Structures and Algorithms ,Ashutosh Kumar Gupta
CS 215,Data Analysis and Interpretation ,S. Sarawagi
CS 217,Artificial Intelligence and Machine Learning ,
CS 218,Design and Analysis of Algorithms ,Diwan A.A.
CS 219,Operating Systems ,
CS 224,Computer Networks ,
CS 226,Digital Logic Design ,
CS 228,Logic for Computer Science ,Krishna Shankara Narayanan
CS 230,Digital Logic Design and Computer Architecture ,Bhaskar RamanSayandeep  Saha
CS 231,Digital Logic and Computer Architecture Lab ,Bhaskar RamanSayandeep  Saha
CS 232,Digital Logic Design and Computer Architecture Lab ,
CS 236,Operating Systems Lab ,
CS 240,Artificial Intelligence and Machine Learning (Lab) ,
CS 251,Software Systems Lab ,
CS 252,Computer Networks Lab ,
CS 254,Digital Logic Design Lab ,
CS 288,Logic Design Lab ,
CS 293,Data Structures and Algorithms Lab ,Ashutosh Kumar Gupta
CS 296,Software Systems Lab ,
CS 302,Implementation of Programming Languages ,
CS 305,Computer Architecture ,
CS 306,Implementation of Programming Languages Laboratory ,
CS 308,Embedded Systems Lab ,
CS 310,Automata Theory ,
CS 316,Implementation of Programming Languages Lab ,
CS 317,Database and Information Systems ,Suraj  Shetiya
CS 333,Operating Systems Lab ,
CS 335,Artificial Intelligence and Machine Learning (Lab) ,
CS 337,Artificial Intelligence and Machine Learning ,
CS 339,Abstractions and Paradigms for Programming ,Manas  Thakur
CS 341,Computer Architecture Lab ,
CS 344,Artificial Intelligence ,
CS 347,Operating Systems ,Mythili Vutukuru
CS 348,Computer Networks ,Vinay J. Ribeiro
CS 355,Programming Paradigms Laboratory ,Manas  Thakur
CS 377,Operating Systems Lab ,
CS 378,Computer Networks Lab ,Vinay J. Ribeiro
CS 386,Artificial Intelligence Lab ,
CS 387,Database and Information Systems Lab ,
CS 408,Graph Theory ,
CS 419,Introducing to Machine Learning ,Abir  De
CS 449,Topics in Artificial Intelligence Programming ,
CS 467,Functional and Logic Programming ,
CS 593,Dual Degree Project I ,
CS 594,Dual Degree Project II ,
CS 601,Algorithms and Complexity ,Akash  Kumar
CS 602,Applied Algorithms ,Sujoy  Bhore
CS 603,Geometric Algorithms ,
CS 604,Combinatorics ,
CS 605,Probability and Statistics for Computer Science ,
CS 606,Foundations of Parallel Computation ,
CS 608,Approximation Algorithms ,
CS 613,Design & Implementation of Functional Programming Languages ,
CS 614,Advanced Compilers ,
CS 615,Formal Specification and Verification of  Programs ,
CS 616,Parallelizing Compilers ,
CS 618,Program Analysis ,Uday Khedkar
CS 620,New Trend in Information Technology ,
CS 621,Artificial Intelligence ,
CS 626,Speech and Natural Language Processing and the Web ,Bhattacharya P.
CS 631,Implementation Techniques for Relational Database Systems ,Sudarshan S.
CS 632,Advanced Database Management Systems ,
CS 635,Information Retrieval & Mining for Hypertext & the Web ,Chakrabarti Soumen
CS 641,Computer Networks ,
CS 646,Optical and Access Network ,
CS 647,Advanced Wireless Networks ,
CS 648,Special topics in Network Algorithms ,
CS 649,Network Security ,
CS 651,Advanced Microprocessor Systems ,
CS 653,Mobile Computing ,
CS 654,Current Topics in VLSI and System Design ,
CS 663,Fundamentals of Digital Image Processing ,Ajit V. Rajwade
CS 671,ICT for Socio-economic Development ,
CS 674,Computer Vision Understanding ,
CS 675,Computer Graphics ,
CS 678,Current Topics in Intelligent Systems ,
CS 681,Performance Analysis of Computer Systems and Network ,
CS 682,Software Engineering ,
CS 683,Advanced Computer Architecture ,Biswabandan  Panda
CS 684,Embedded Systems ,
CS 686,Object Oriented Systems ,
CS 691,R & D Project ,Diwan A.A.
CS 692,R & D Project II ,Diwan A.A.
CS 694,Seminar ,Diwan A.A.
CS 695,Topics in Virtualization and Cloud Computing ,
CS 699,Software Lab. ,Om P. Damani
CS 709,Convex Optimization ,
CS 711,Topics in Computational Ring Theory and Algebras ,
CS 713,Special Topics in Automata and Logics ,
CS 715,Design and Implementation of Gnu Compiler Generation Framework ,
CS 718,Software Architecture ,
CS 719,Topics in Mathematical Foundations of Formal Verifications ,
CS 720,Spatial Databases ,
CS 721,Introduction to Computational Complexity ,
CS 724,Network Security and Cryptography II ,
CS 725,Foundations of Machine Learning ,Preethi Jyothi
CS 726,Advanced Machine Learning ,
CS 728,Organization of Web Information ,
CS 729,Topics in Machine Learning ,
CS 733,Advanced Distributed Computing - Engineering a Cloud ,
CS 735,Formal Models for Concurrent and Asynchronous Systems ,
CS 736,Medical Image Computing  ,
CS 738,"Concepts, Algorithms and Tools for Model Checking ",
CS 740,Mathematics for Visual Computing ,
CS 741,Advanced Network Security and Cryptography ,
CS 742,Foundations of Network Security and Cryptography ,
CS 743,Wireless Networks ,
CS 744,Design and Engineering of Computing Systems ,Purushottam Kulkarni
CS 745,Principles of Data and System Security ,
CS 746,Kernel Programming ,
CS 747,Foundations of Intelligent  and Learning Agents ,
CS 748,Advances in Intelligent and Learning Agents ,
CS 749,Digital Geometry Processing ,
CS 750,Linear Optimization ,
CS 751,Principles of  Concurrent and Parallel Programming ,
CS 752,System Dynamics: Modeling & Simulation for Development ,
CS 753,Automatic Speech Recognition ,
CS 754,Advanced Image Processing ,
CS 756,Software Defined Networking and Network Function Virtualization ,
CS 757,Design and Re-engineering of Object Oriented Programs ,
CS 758,Advanced Tools from Modern Cryptography ,
CS 759,Perfect Matchings: Algorithms and Complexity ,
CS 760,Topics in Computational Complexity ,Rohit Gurjar
CS 761,Derandomization and Pseudorandomness ,
CS 762,Advanced Blockchain Technology ,
CS 763,Computer Vision ,
CS 764,Computer Vision Lab ,
CS 765,"Introduction to Blockchains, Cryptocurrencies and Smart Contracts ",
CS 766,Analysis of Concurrent Programs​ ,
CS 767,Theoretical Machine Learning ,
CS 768,Learning with Graphs ,
CS 769,Optimization in Machine Learning ,
CS 770,Process Engineering ,
CS 771,Foundations of verification and automated reasoning ,Paritosh K. Pandya
CS 772,Deep Learning for Natural Language Processing ,
CS 773,Computer Architecture for Performance and Security ,
CS 775,Advanced Computer Graphics ,
CS 776,Principles of Mathematical Modeling ,
CS 777,M.S. R&D 1 ,Sujoy  Bhore
CS 778,M.S. R&D 2 ,
CS 779,Extremal Combinatorics ,
CS 792,Communication Skills -II ,
CS 797,I Stage Project ,
CS 798,II Stage Project ,
CS 899,Communication Skills ,
CSP608,M S Project (Stage I) ,
CSP609,M S Project (Stage II) ,
CSP611,M S Project (Stage IV) ,
CSS601,Seminar ,
GP 401,Global Geophysics ,Kumar Hemant Singh
GP 402,Gravity and Magnetic Methods ,
GP 403,Earthquake and Engineering Seismology ,Mohan G.Satish Maurya
GP 404,Electrical Methods and Potential Field Theory ,
GP 405,Earth Processes ,
GP 406,Earth Resources ,
GP 407,Seismology Lab ,Satish Maurya
GP 408,Gravity and Magnetic Lab ,
GP 409,Earth Processes Lab ,
GP 410,Earth Resources Lab ,
GP 412,Geological Field Work ,
GP 413,Mineralogy & Petrology ,Prabhakar Naraga
GP 414,Electrical Methods ,
GP 415,Mineralogy & Petrology Lab ,Patel S.C.
GP 416,Structural Geology & Stratigraphy ,
GP 418,Exploration Seismology I ,
GP 420,Structural Geology & Stratigraphy Lab ,
GP 422,Geological Field Work ,
GP 501,Exploration Seismology I ,
GP 502,Well Logging ,
GP 503,Geophysical Signal Processing ,Vivek  Kumar
GP 504,Exoploration Seismology  II ,
GP 505,Electromagnetic Methods ,Anand  Singh
GP 506,Geophysical Inverse Theory ,
GP 507,Geophysical Signal Processing Lab ,
GP 508,Integrated Geophysical Field Work ,
GP 509,Electrical and Electromagnetic Methods Lab ,
GP 510,Project Work ,
GP 511,Nuclear Geophysics ,
GP 512,Rock Physics ,
GP 513,Natural Hazards and Environmental Geophysics ,
GP 514,Geomagnetism ,
GP 516,Petroleum Geology and Petrophysics ,
GP 517,Exploration Seismology II ,Bharath C. Shekar
GP 518,"Process Geomorphology, Remote Sensing and GIS ",
GP 519,Engineering & Ground Water Geology Lab ,D. RamakrishnanVikram Vishal
GP 520,Project Work ,
GP 521,Electromagnetic Lab ,Anand  Singh
GP 523,Industrial Training ,Anand  Singh
GP 525,Computational Geophysics ,Anand  Singh
GP 591,Seminar ,
GP 593,M.Sc.-Ph.D. Geophysical Project ,
GS 318,Applied Geology for Civil Engineers ,
GS 407,Strucural Geology ,Malay Mukul
GS 413,Structural Geology Lab ,Malay Mukul
GS 415,Applied Mineralogy and X-Ray Crystallography ,Mathew George
GS 416,Petrology Lab ,
GS 421,Palaeontology ,Jahnavi PunekarNibedita  Rakshit
GS 422,"Geomorphology, Remote Sensing & GIS ",
GS 430,Metamorphic Petrology ,
GS 433,Palaeontology Lab ,Jahnavi PunekarNibedita  Rakshit
GS 434,Igneous Petrology and Volcanology ,
GS 435,"Mineralogy, Crystallography and Optics Lab ",Mathew George
GS 436,Sedimentlogy  ,
GS 438,Economic and Mining Geology ,
GS 440,"Geomorphology, Remote Sensing and GIS lab ",
GS 450,Geological field work ,
GS 507,Engineering & Ground Water Geology ,D. RamakrishnanVikram Vishal
GS 517,Solid Earth and Exploration Geophysics ,Mohan G.M. Radhakrishna
GS 519,Ore Petrography Lab ,Sakthi Saravanan Chinnasamy
GS 527,Ore Petrology ,Sakthi Saravanan Chinnasamy
GS 534,Tectonics and Crustal Evolution ,
GS 535,Statistical Methods in Geosciences ,Kumar Hemant Singh
GS 536,Nuclear Geology and Geochemical Prospecting ,
GS 537,Geochemistry and Geochemical Thermodynamics ,Prabhakar NaragaSheth C Hetu
GS 538,Petroleum and Coal Geology ,
GS 539,Engineering Geology and Groundwater Lab ,D. RamakrishnanVikram Vishal
GS 541,Analytical Geochemistry Lab ,Patel S.C.
GS 542,Isotope Geology ,
GS 543,Computer Programming for Geosciences ,Anand  Singh
GS 548,"Geodesy, GPS and Surveying ",
GS 551,Industrial Training ,Nibedita  Rakshit
GS 552,Geological Project ,
GS 553,M.Sc.-Ph.D. Geological Project ,
GS 591,Seminar ,
GS 647,Principles and Applications in Isotope Geology ,Bivin Geo GeorgeSameer  Ranjan
GS 649,Tectonics and Mechanism of Mobile Belts ,
GS 650,Mantle Petrology and Diamonds ,
GS 654,Mining Geostatistics ,
GS 656,Geothermics ,
GS 662,Petroliferous basins of India ,
GS 663,Exploration Geophysics ,Srinivasa Rao  Gangumalla
GS 666,Applied Ichnology ,Sudipta Dasgupta
GS 669,Principles of Photogrammetry ,
GS 671,Groundwater Exploration ,D. Ramakrishnan
GS 672,Reservoir Sedimentology ,
GS 673,Mineral Exploration ,Sakthi Saravanan ChinnasamySameer  Ranjan
GS 674,Applied Rock Mechanics for River Valley Projects ,
GS 675,Petroleum Exploration ,Banerjee SantanuSudipta Dasgupta
GS 676,Well Logging ,
GS 677,"Remote Sensing, GIS and GPS ",
GS 678,Advanced Geomorphology ,
GS 679,Basin Analysis and Applied Micropalaeontology ,Banerjee SantanuJahnavi Punekar
GS 680,Rock Slope Analysis ,
GS 681,Underground Excavation Technology ,
GS 682,Industrial Mineralogy ,
GS 683,Advanced Structural Analysis ,
GS 684,Applied Multivariate Statistical Analysis in Geology ,
GS 685,Aqueous Environmental Geochemistry ,
GS 687,Methods in Structural Geology ,Soumyajit Mukherjee
GS 688, Petroleum Geochemistry ,Suryendu Dutta
GS 689,Modern Analytical Methods in Geosciences ,
GS 691,R & D Project ,Suryendu Dutta
GS 694,Seminar ,Banerjee SantanuSheth C Hetu
GS 697,II Stage Project ,
GS 698,III Stage Project ,
GS 701,Seismic Data Processing and Seismic Stratigraphy ,Bharath C. Shekar
GS 702,Well-site Geology and Formation Evaluation ,
GS 703,Structural Geology and Subsurface Geological Mapping ,
GS 704,Sequence Stratigraphy ,
GS 705,Oilwell Drilling Technology ,
GS 706,Petrophysics  ,
GS 708,Petroleum Geostatistics ,
GS 709,Reservoir Geomechanics ,Vikram Vishal
GS 792,Communication Skills -II ,
GS 795,I Stage Project ,
GS 796,II Stage Project ,
GS 797,I Stage Project ,
GS 798,II Stage Project ,
GS 818,Metamorphic Phase Equilibria ,
GS 820,Continental Deformation and GPS Geodesy ,
GS 822,Organic Geochemistry ,
GS 824,Pegmatology ,
GS 826,Topics in Isotope Geology ,
GS 827,Seismology and Earth Structure ,Mohan G.Satish Maurya
GS 899,Communication Skills ,Banerjee SantanuKumar Hemant Singh
GSP602,II stage project ,
GSP603,III stage project ,
GSS801,Seminar ,Jahnavi Punekar
EC 101,Economics ,Aditi Balkrishna ChaubalHaripriya GundimedaNeha GuptaPooja PadhiRadeef  ChundakkadanRama PalSubrato  BanerjeeTara S. Shaw
EC 210,Intermediate Microeconomics II ,
EC 212,Intermediate Macroeconomics II ,
EC 214,Statistics II ,
EC 221,Intermediate Microeconomics I ,Narayanan K.Subrato  Banerjee
EC 223,Intermediate Macroeconomics-I ,Surajit Bhattacharya
EC 225,Mathematics for Economics ,Aditi Balkrishna Chaubal
EC 227,Statistics I ,Neha Gupta
EC 302,International  Economics II ,
EC 304,Development Economics II ,
EC 306,Econometrics I ,Souvik  Banerjee
EC 308,Econometrics I Lab ,Souvik  Banerjee
EC 311,International Economics I ,Radeef  Chundakkadan
EC 313,Development Economics I ,Rama Pal
EC 315,Public Finance ,
EC 402,Game Theory and Economic Analysis ,Saptarshi Prosonno Ghosh
EC 405,Econometrics II ,
EC 407,Econometrics II Lab ,
EC 411,Indian Economy ,
EC 495,BS Project Stage I ,Haripriya Gundimeda
EC 497,BS Project Stage II ,
EC 899,Communication Skills ,
ECS801,Seminar ,Narayanan K.Saptarshi Prosonno GhoshTara S. Shaw
ECS802,Seminar ,Tara S. Shaw
EE 101,Introduction to Electrical and Electronics Circuits ,Agarwal Vivek
EE 103,Introduction to Electrical Engineering ,Chatterjee KishoreDipankar SahaManjunath D.
EE 111,Introduction to Electrical Systems ,
EE 112,Introduction to Electronics ,
EE 113,Introduction to Electrical Engineering Practice ,
EE 114,Power Engineering - I ,
EE 204,Analog Circuits ,M. B. PatilM.Shojaei Baghini
EE 206,Digital Circuits ,
EE 207,Electronic Devices & Circuits ,Arun  Surendran
EE 209,Electrical/Electronics Lab. ,
EE 214,Digital Circuits Lab ,Saurabh Lodha
EE 224,Digital Systems ,Patkar SachinVirendra Singh
EE 229,Signal Processing – I ,Gadre V.M.Preeti Rao
EE 230,Analog Lab ,
EE 236,Electronic Devices Lab ,Apurba LahaPradeep R. Nair
EE 238,Power Engineering - II ,
EE 240,Power Engineering Lab ,Himanshu J. BahiratPrashant NavalkarSandeep  AnandShiladri  Chakraborty
EE 301,Electromagnetic Waves ,Bhaskaran MuralidharanShevgaonkar R.K.
EE 302,Control Systems ,
EE 309,Microprocessors ,
EE 323,Analog Circuits ,
EE 324,Control Systems Lab ,Debraj ChakrabortyDwaipayan  Mukherjee
EE 325,Probability and Random Processes ,Manjunath D.Sharayu Moharir
EE 326,Power System Lab ,
EE 328,Digital Communications ,
EE 334,Power Systems ,
EE 337,Microprocessors Laboratory ,
EE 338,Digital Signal Processing ,
EE 340,Communications Lab ,Jayakrishnan NairS. Vijayakumaran
EE 341,Communication Systems - I ,B.K.DeyKumar Appaiah
EE 344,Electronic Design Lab ,
EE 350,Technical Communication ,
EE 352,Digital Signal Processing Lab ,
EE 353,Introduction to Data Science and Machine Learning ,Amit Sethi
EE 429,Discrete Data and Digital Control ,
EE 451,Supervised Research Exposition ,Pillai Harish
EE 462,Digital Signal Processing Software and Hardware Lab ,
EE 465,Cryptocurrency and Blockchain Technologies ,
EE 491,BTP I ,Pillai Harish
EE 593,Dual Degree Project I ,
EE 600,Mini Project ,
EE 601,Statistical Signal Analysis ,P.Chaporkar
EE 602,Radar Systems ,
EE 603,Digital Signal Processing and its Applications ,Satish  Mulleti
EE 605,Error Correcting Codes ,
EE 606,Fibre Optic Communications ,
EE 608,Adaptive Signal Processing ,
EE 609,Radiating Systems ,J.Mukherjee
EE 610,Image Processing ,
EE6104,Internet of Things ,
EE6105,Power System Modeling and Control ,Anupama Kowli
EE 611,Microwave Integrated Circuits ,
EE 612,Telematics ,
EE 613,Nonlinear Dynamical Systems ,
EE 614,Solid State Microwave Devices and their Applications ,
EE 615,Control and Computational Laboratory ,
EE 616,Electronic Systems Design ,Pandey P.C.
EE 617,Sensors in Instrumentation ,Siddharth Tallur
EE 618,CMOS Analog VLSI Design ,Rajesh H. Zele
EE 619,Radio Frequency Microelectronics Chip Design ,
EE 620,Physics of Transistors ,
EE 621,Markov Chains and Queuing Systems ,
EE 622,Optimal Control Systems ,
EE 625,Bio Sensors & BioMEMS ,Pradeep R. Nair
EE 629,Biomedical Instrumentation ,
EE 631,Modern Filter Design ,
EE 634,Simulation of Devices and Circuits ,
EE 635,Applied Linear Algebra ,Dwaipayan  Mukherjee
EE6351,Theory of Electron Devices ,
EE 636,Matrix Computations ,
EE 637,Microprocessors and Microcomputers ,
EE 638,Estimation and Identification ,Debraj Chakraborty
EE 639,Microprocessor Lab ,
EE 640,Multivariable Control Systems ,M Belur
EE 649,Finite Fields and their Applications ,
EE 651,Digital Protection of Power Systems ,
EE 653,Power Electronics -I ,M. Chandorkar
EE 654,Power Electronics - II ,
EE 655,Computer Aided Power System Analysis ,
EE 656,Electrical Machine Analysis and Control ,
EE 657,Electric Drives ,Fernandes B.G.
EE 658,Power System Dynamics and Control ,Kulkarni A.M.
EE 659,A First Course in Optimization ,Pillai Harish
EE 660,Application of Power Electronics to Power Systems ,
EE 665,IC Technology ,
EE 668,Systems Design ,
EE 669,VLSI Technology ,Anil K.G.Veeresh Vidyadhar Deshpande
EE 671,VLSI Design ,Laxmeesha  Somappa
EE 672,Microelectronics Lab ,
EE 673,Power Systems & Power Electronics Laboratory ,
EE 675,Microprocessor Applications in Power Electronics ,Himanshu J. Bahirat
EE 677,Foundation of VLSI CAD ,Virendra Singh
EE 678,Wavelets ,Gadre V.M.
EE 679,Speech Processing ,
EE 686,H V D C Transmission ,
EE 687,Switchgear Principles ,
EE 691,R & D Project ,Pillai Harish
EE 692,R & D Project ,Pillai Harish
EE 694,Seminar ,Pillai Harish
EE 695,Research Seminar in Electrical Engg ,
EE 697,II Stage Project ,
EE 699,Delta Sigma Data Converters and their Applications ,
EE 701,Introduction to MEMS ,S. Duttagupta
EE 702,Computer Vision ,
EE 703,Digital Message Transmission ,Sibi Raj B. Pillai
EE 704,Artificial Neural Network ,
EE 705,V L S I Design Lab ,
EE 706,Communication Networks ,
EE 708,Information Theory  & Coding ,
EE 709,Testing and Verification of VLSI Circuits ,Desai Madhav
EE 710,Large Sparse Matrix Computations ,Soman S.A.
EE 712,Embedded Systems Design ,
EE 713,Circuit Simulation in Power Electronics ,
EE 714,Behavioral Theory of Systems ,
EE 716,Advances in Communications Systems ,
EE 719,Mixed-Signal VLSI Design ,
EE 720,An Introduction to Number Theory and Cryptography ,S. Vijayakumaran
EE 721,Hardware Description ,
EE 722,Restructured Power Systems ,
EE 723,Physics of Nanoelectronic Devices - I ,Kasturi Saha
EE 724,Nanoelectronics ,
EE 725,Computational Electromagnetics ,
EE 727,Physics of Nanoscale Devices - II ,
EE 728,Growth and Characterization of Nano-electronic Materials ,
EE 731,Design and Analysis of Experiments Using Taguchi Method ,
EE 732,Combinatorial Optimization I ,
EE 733,Solid State Devices ,Debanjan  Bhowmik
EE 734,Advanced Probability and Random Processes for Engineers ,
EE 735,Microelectronics Simulations Lab ,
EE 736,Introduction to Stochastic Optimization ,
EE 739,Processor Design ,
EE 740,Advanced Data Network ,
